plant_name,scientific_name,plant_category,plant_type,days_to_maturity,plant_spacing,sowing_depth,position,season,germination,sowing_method,hardiness_life_cycle,characteristics,description,additional_information,seed_type,image_filename,cool_climate_sowing_period,temperate_climate_sowing_period,subtropical_climate_sowing_period,tropical_climate_sowing_period,arid_climate_sowing_period
Bitter Melon- Jounpuri,Momordica charantia,vegetable,Asian vegetable; Dark green fruit 12-15cm long; Also known as 'Balsam Pear' or 'Bitter Squash',75 days,60cm,15mm,"Full sun, moist well drained soil",Spring and summer,10-15 days @ 25-28°C,**Sow direct:** This means that the seeds are best sown directly into the garden,Frost Tender Perennial (usually grown as an annual),Sweet flavour,"**Bitter Melon**, also known as 'Balsam Pear' or 'Bitter Squash', is a popular Asian vegetable that grows on a climbing vine up to 5m long. The dark green fruit, measuring up to 15cm in length, has a waxy warty appearance. Best eaten when young and green, it becomes more bitter with age. When cooked, it has a similar texture to cucumber but with a bitter flavor.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Bitter Melon- Jounpuri_Momordica charantia/Bitter Melon- Jounpuri_Momordica charantia_1.jpg; Bitter Melon- Jounpuri_Momordica charantia/Bitter Melon- Jounpuri_Momordica charantia_2.jpg; Bitter Melon- Jounpuri_Momordica charantia/Bitter Melon- Jounpuri_Momordica charantia_3.jpg,"October, November, December","January, September, October, November, December","January, August, September, October, November, December","February, March, April, May, June, July, August, September, October, November","January, September, October, November, December"
Bitter Melon- Long,Momordica charantia,vegetable,"Asian vegetable; Also known as ""Balsam Pear"" or ""Bitter Squash""",75 days,60cm,15mm,"Full sun, moist well drained soil",Spring and summer,10-15 days @ 25-28°C,**Sow direct:** This means that the seeds are best sown directly into the garden,Frost Tender Perennial (usually grown as an annual),Sweet flavour,"**Bitter Melon**, also known as ""Balsam Pear"" or ""Bitter Squash"", is another Asian vegetable that grows on a climbing vine up to 5m tall. Its long green fruit, measuring up to 30cm in length, has a waxy warty appearance. Best eaten when young and green; when cooked it has a similar texture to cucumber but with a bitter flavor.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Bitter Melon- Long_Momordica charantia/Bitter Melon- Long_Momordica charantia_1.jpg; Bitter Melon- Long_Momordica charantia/Bitter Melon- Long_Momordica charantia_2.jpg,"October, November, December","January, September, October, November, December","January, August, September, October, November, December","February, March, April, May, June, July, August, September, October, November","January, September, October, November, December"
Black Currant,Ribes nigrum,vegetable,Long cropping season; Sweet-tart purple-black berries; Ornamental value,420 days,30cm,,"Full or part sun, moist well drained soil",Winter,,Close,Frost Hardy Perennial,Sweet-tart purple-black berries; Very tender with exceptional flavour; Sweet flavour,"**Black Currant** is a deciduous shrub bearing dark purple-black berries carried in loose bunches. The sweet-tart flavored fruit is high in Vitamin C, making it perfect for jams, preserves, syrups, and cordials. Plants are also grown for their ornamental value and crop over a long season.",Culinary use,,Black Currant_Ribes nigrum/Black Currant_Ribes nigrum_1.jpg; Black Currant_Ribes nigrum/Black Currant_Ribes nigrum_2.jpg; Black Currant_Ribes nigrum/Black Currant_Ribes nigrum_3.jpg,"June, July, August","June, July, August",,,"June, July, August"
Black Salsify,Scorzonera hispanica,vegetable,Root vegetable; Flavour is similar to asparagus and oysters,120 days,10cm,20mm,"Full sun, moist well drained soil","Spring, summer autumn",14-21 days @ 15-21°C,**Sow direct:** This means that the seeds are best sown directly into the garden,Hardy Perennial,Flavour is similar to asparagus and oysters; Flavour is oyster-like; Sweet flavour,". **Scorzonera**, or ""Spanish Salsify"", ""Black Oyster Plant"", or ""Viper's Grass"", is a perennial vegetable producing long thin black tapered roots that grow up to 30cm in length. The roots have a black skin and white flesh, with young shoots and flower buds also being edible. They can be harvested in the first year or when more mature in their second year. With a flavor similar to asparagus and oysters, they're great for soups, stews, or eaten alone and can be baked, fried, or steamed.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Black Salsify_Scorzonera hispanica/Black Salsify_Scorzonera hispanica_1.jpg,"January, February, March, September, October, November, December","January, February, March, April, September, October, November, December","January, February, March, August, September, October, November, December","April, May, June, July","January, February, March, August, September, October, November, December"
Blue Butterfly Pea,Clitoria ternatea,vegetable,Perennial to 200cm; Edible Blue and white flowers,90 days,50cm,20mm,"Full to part sun, moist soil",Spring to summer,7-14 days @ 20-30°C,Blue Butterfly Pea seeds can be sown directly into the garden OR seedlings can be raised in trays or other containers and transplanted to the garden once established,Frost tender Perennial (grown as an annual in cool climates),,"**Mung Bean**: This perennial tropical climbing vine (grown as an annual in cool climates) can reach heights of up to 200cm. Native to Asia, it's prized for its vibrant blue and white flowers, which have a rich history of medicinal uses. The flowers are not only edible but also versatile - they can be consumed fresh, dried, or powdered, making them perfect for brewing a distinctive blue-colored tea. When used as a natural food coloring, the flowers change color with pH levels, shifting from blue to pink when lemon juice is added. Mung Bean leaves serve as a nutritious stock feed, while its roots have nitrogen-fixing properties, making it an excellent cover crop.",Attracts beneficial insects; Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Blue Butterfly Pea_Clitoria ternatea/Blue Butterfly Pea_Clitoria ternatea_1.jpg; Blue Butterfly Pea_Clitoria ternatea/Blue Butterfly Pea_Clitoria ternatea_2.jpg; Blue Butterfly Pea_Clitoria ternatea/Blue Butterfly Pea_Clitoria ternatea_3.jpg; Blue Butterfly Pea_Clitoria ternatea/Blue Butterfly Pea_Clitoria ternatea_4.jpg,"September, October, November",,,,
Borlotti Bean- Red Rooster,Phaseolus vulgaris,vegetable,Dwarf (Bush); Great for both dried beans and pods,60-70 days,10cm,20mm,"Full sun, well drained soil",Spring and summer,7-10 days @ 21-32°C,**Sow direct:** This means that the seeds are best sown directly into the garden,Frost tender Annual,Sweet flavour,"**Dwarf Bush Bean**: This compact variety produces long pods (up to 12cm) containing speckled red seeds that dry to a tan color. While young pods are delicious when eaten fresh, they're often left to mature for dried bean production, which is ideal for soups, stews, and homemade baked beans. The Dried Bean is known for its exceptional flavor and high productivity. Moreover, these beans store exceptionally well, making them a staple in many gardens.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Borlotti Bean- Red Rooster_Phaseolus vulgaris/Borlotti Bean- Red Rooster_Phaseolus vulgaris_1.jpg,"January, October, November, December","January, February, September, October, November, December","January, February, March, April, August, September, October, November, December","February, March, April, May, June, July, August, September, October","January, February, September, October, November, December"
Broad Bean- Aquadulce (Long Pod),Vicia faba,vegetable,Pods to 25cm; Excellent flavour; High yielding,90 days,30cm,50mm,"Part or full sun, moist soil","Late summer, autumn and winter (and spring in cool climates)",7-14 days @ 6-24°C,**Sow direct:** This means that the seeds are best sown directly into the garden,Hardy Annual,Excellent flavour; High yielding; Sweet flavour,"**Broad Bean (Fava Bean)**: Characterized by its long pods, reaching up to 25cm, Broad Beans are packed with seeds that are commonly referred to as ""beans."" These versatile legumes can be enjoyed fresh or dried, depending on the stage of ripeness. Young beans can be eaten raw in salads, while older ones are cooked as a vegetable. With their excellent flavor and broad range of uses, it's no wonder Broad Beans are a favorite among gardeners.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Broad Bean- Aquadulce Long Pod_Vicia faba/Broad Bean- Aquadulce Long Pod_Vicia faba_1.jpg; Broad Bean- Aquadulce Long Pod_Vicia faba/Broad Bean- Aquadulce Long Pod_Vicia faba_2.jpg; Broad Bean- Aquadulce Long Pod_Vicia faba/Broad Bean- Aquadulce Long Pod_Vicia faba_3.jpg; Broad Bean- Aquadulce Long Pod_Vicia faba/Broad Bean- Aquadulce Long Pod_Vicia faba_4.jpg,"March, April, May, August, September","March, April, May, June, July","March, April, May, June","April, May, June","April, May, June, July"
Broad Bean- Coles Dwarf,Vicia faba,vegetable,"Pods to 15cm; Excellent flavour; Also known as ""Fava Beans""",80 days,15cm,30mm,"Part or full sun, moist soil",Autumn and winter,7-14 days @ 6-24°C,**Sow direct:** This means that the seeds are best sown directly into the garden,Hardy Annual,Excellent flavour; Sweet flavour; High yielding,"**Dwarf Variety (Fava Bean)**: This compact variety produces 10-15cm long pods on stems that grow up to 90cm in height. Notably earlier producing than 'Aquadulce', it thrives in windy sites due to its shorter stature. Like other Broad Beans, this variety can be enjoyed fresh or dried and boasts an excellent flavor profile. Their broad appeal is no surprise, given their adaptability and deliciousness.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Broad Bean- Coles Dwarf_Vicia faba/Broad Bean- Coles Dwarf_Vicia faba_1.jpg,"March, April, May, August, September","March, April, May, June, July","March, April, May, June","April, May, June","April, May, June, July"
Broad Bean- Tripoli,Vicia faba,vegetable,High yields; Large pods and beans; Suited to warm climates,90 days,30cm,50mm,"Part or full sun, moist soil","Late summer, autumn and winter (and spring in cool climates)",7-14 days @ 6-24°C,**Sow direct:** This means that the seeds are best sown directly into the garden,Frost Hardy Annual,Sweet flavour,"**High-Yielding Broad Bean (Fava Bean)**: With up to 7 seeds per pod, this large-seeded variety outshines its peers in terms of productivity. Its compact growth habit reaches a maximum height of 100cm, producing pods that stretch up to 30cm long. More heat-tolerant than 'Aquadulce' and other common varieties, it offers unparalleled flexibility for gardeners looking to grow Broad Beans in a variety of conditions.",,"Open pollinated, untreated, non-GMO variety of seed",Broad Bean- Tripoli_Vicia faba/Broad Bean- Tripoli_Vicia faba_1.jpg; Broad Bean- Tripoli_Vicia faba/Broad Bean- Tripoli_Vicia faba_2.jpg; Broad Bean- Tripoli_Vicia faba/Broad Bean- Tripoli_Vicia faba_3.jpg; Broad Bean- Tripoli_Vicia faba/Broad Bean- Tripoli_Vicia faba_4.jpg,"March, April, May, August, September","March, April, May, June, July","March, April, May, June","April, May, June","April, May, June, July"
Broccoli- Green Sprouting Calabrese,,vegetable,Green vegetable; Medium sized heads; Very tender,70-90 days,50cm,5mm,"Full or part sun, well drained soil",Late summer to autumn,7-14 days @ 7-30°C,Sow direct or raise seedlings,Hardy Biennial (usually grown as an annual),Very tender; Sweet flavour,"**Medium Green Cabbage**: This medium-sized dark green head boasts exceptional nutritional value and tender leaves that are perfect for salads. What sets this plant apart is its remarkable ability to produce side shoots for several weeks after the main flower head has been harvested, ensuring continuous yields throughout the growing season.",,"Open pollinated, untreated, non-GMO variety of seed",Broccoli- Green Sprouting Calabrese_unknown/Broccoli- Green Sprouting Calabrese_unknown_1.jpg; Broccoli- Green Sprouting Calabrese_unknown/Broccoli- Green Sprouting Calabrese_unknown_2.jpg,"January, February, March, November, December","January, February, March, April, September, October, November, December","February, March, April, May, June","March, April, May, June","February, March, April, May, June, July"
